cn,label,en,cleaned_en
保暖杯,1,Warm cup,warm cup
汉堡,4,hamburger,hamburger
汉堡包,4,hamburger,hamburger
汉堡盒,8,Burger Box,burger box
宝特瓶,1,PET bottle,pet bottle
抱枕,1,Pillow,pillow
报刊,1,press,press
报纸,1,newspaper,newspaper
海报,1,poster,poster
鲍鱼,8,abalone,abalone
鲍鱼壳,8,Abalone shell,abalone shell
爆竹,8,Firecrackers,firecrackers
爆米花,4,Popcorn,popcorn
铁杯,1,Iron cup,iron cup
纸杯,8,Paper cup,paper cup
旧背包,1,Old backpack,old backpack
贝壳,8,shell,shell
扇贝,8,scallop,scallop
贝壳类,8,Shellfish,shellfish
电脑设备,1,Computer equipment,computer equipment
被单,1,bed sheet,bed sheet
被套,1,quilt cover,quilt cover
被芯,1,Quilt,quilt
本子,1,book,book
绘本,1,Picture book,picture book
课本,1,textbook,textbook
绷带,8,bandage,bandage
鼻毛,8,Nose hair,nose hair
鼻屎,8,Booger,booger
鼻涕纸,8,Snot paper,snot paper
笔,8,Pen,pen
笔袋,8,Pencil case,pencil case
雪碧瓶,1,Sprite bottle,sprite bottle
碧根果壳,8,Pecan husk,pecan husk
冥币,8,Mingbi,mingbi
游戏币,1,Game currency,game currency
避孕套,8,condom,condom
避孕药,2,Birth control pills,birth control pills
用过的避孕套,8,Used condom,used condom
鞭炮,8,firecracker,firecracker
牛鞭,4,Bullwhip,bullwhip
纸张鞭炮,8,Paper firecrackers,paper firecrackers
编织袋,8,Woven bag,woven bag
便签,8,Memo,memo
变质食品,4,Spoiled food,spoiled food
变质的食物,4,Spoiled food,spoiled food
标签,8,Label,label
鼠标,1,mouse,mouse
标签卡,8,Label card,label card
手表,1,watch,watch
钟表,1,Clock,clock
电表盒,1,Electric meter box,electric meter box
别针,8,pin,pin
曲别针,8,paper clip,paper clip
瘪掉的篮球,1,Deflated basketball,deflated basketball
冰袋,8,ice bag,ice bag
冰柜,1,Freezer,freezer
冰糖,4,crystal sugar,crystal sugar
葡萄柄,4,Grape handle,grape handle
游戏手柄,1,Gamepad,gamepad
丙烯,8,Acrylic,acrylic
饼干,4,biscuits,biscuits
大饼,4,Flatbread,flatbread
粉饼,8,Pressed powder,pressed powder
病人换下来的纸尿裤,8,Diapers changed by the patient,diapers changed by the patient
玻璃,1,grass,grass
玻璃杯,1,glass,glass
玻璃尺,1,Glass ruler,glass ruler
菠菜,4,spinach,spinach
菠萝,4,Pineapple,pineapple
菠萝干,4,Dried pineapple,dried pineapple
数字音乐播放器,1,Digital music player,digital music player
微波炉,1,Micro-wave oven,microwave oven
铂金纸,8,Platinum paper,platinum paper
铝箔,1,Aluminum foil,aluminum foil
鋁箔,1,Aluminum foil,aluminum foil
锡箔,8,Tin foil,tin foil
鸭脖,4,Duck neck,duck neck
鸭脖子,4,Duck neck,duck neck
捕蚊灯,1,Mosquito trap,mosquito trap
萝卜,4,Radish,radish
胡萝卜,4,carrot,carrot
萝卜干,4,Dried radish,dried radish
不锈钢,1,Stainless steel,stainless steel
不粘锅,1,Non-stick pan,nonstick pan
尿不湿,8,Diapers,diapers
布,1,cloth,cloth
布袋,1,Cloth bag,cloth bag
电话簿,1,Phone book,phone book
板擦儿,8,Eraser,eraser
擦屎纸,8,Shit paper,shit paper
擦手巾,8,Hand towel,hand towel
药材,4,Medicinal materials,medicinal materials
彩笔,8,Crayons,crayons
彩电,1,Color TV,color tv
彩票,8,Lottery,lottery
菜,4,vegetable,vegetable
餐盒,8,Lunch box,lunch box
餐巾,8,napkin,napkin
餐纸,8,Napkin,napkin
西洋参,4,American Ginseng,american ginseng
蚕丝,1,silk,silk
蚕豆壳,4,Broad Bean Shell,broad bean shell
残羹,4,Residual,residual
残花,4,Residual flower,residual flower
残枝,4,Remaining branch,remaining branch
苍蝇,4,fly,fly
苍蝇拍,8,Fly swatter,fly swatter
草,4,Grass,grass
草莓,4,Strawberry,strawberry
厕纸,8,Toilet paper,toilet paper
厕所纸,8,Toilet paper,toilet paper
手册,1,manual,manual
相册,8,Photo album,photo album
宣传册,1,brochure,brochure
插排,1,Power strip,power strip
插头,1,plug,plug
插座,1,socket,socket
叉子,1,fork,fork
塑料叉子,8,Plastic fork,plastic fork
一次性叉子,8,Disposable fork,disposable fork
茶,4,Tea,tea
茶包,8,tea bag,tea bag
茶袋,8,Tea bag,tea bag
搽鼻涕纸,8,Sniffing paper,sniffing paper
火柴,8,matches,matches
硅胶铲,8,Silicone spatula,silicone spatula
木铲板,1,Wooden spatula,wooden spatula
电器产品,1,Electrical products,electrical products
电子产品,1,electronic product,electronic product
水产类弃物,4,Aquatic waste,aquatic waste
常温牛奶盒,1,Room temperature milk carton,room temperature milk carton
常温牛奶盒子,1,Room temperature milk box,room temperature milk box
平常喝的茶叶,4,Tea that I usually drink,tea that i usually drink
长靴,1,Boots,boots
长毛绒,1,plush,plush
长生果,4,Longevity fruit,longevity fruit
红肠,4,Red Sausage,red sausage
香肠,4,sausage,sausage
鱼肠,4,Fish intestines,fish intestines
唱片,8,record,record
黑胶唱片,8,Vinyl Records,vinyl records
超能胶,8,Super Glue,super glue
手抄报,8,Manuscript,manuscript
点钞机,1,Money counter,money counter
过朝食品,4,Guochao Food,guochao food
防潮盒,1,Moisture-proof box,moistureproof box
防潮剂,8,Anti-moisture agent,antimoisture agent
吸潮剂,8,Moisture Absorbent,moisture absorbent
炒面,4,Fried noodles,fried noodles
炒板栗,4,Fried chestnut,fried chestnut
炒花生壳,4,Fried peanut shells,fried peanut shells
尘土,8,dust,dust
灰尘,8,dust,dust
陈皮,4,Tangerine peel,tangerine peel
衬衫,1,shirt,shirt
衬衣,1,shirt,shirt
橙,4,Orange,orange
橙皮,4,Orange peel,orange peel
橙子,4,Orange,orange
中成药,2,Chinese patent medicine,chinese patent medicine
成人尿布,8,Adult diapers,adult diapers
集成电路板,1,Integrated circuit board,integrated circuit board
体重秤,1,weighing scale,weighing scale
吃过的甘蔗,4,Eaten sugarcane,eaten sugarcane
吃剩的快餐,4,Leftover fast food,leftover fast food
吃过的棒棒糖,8,Lollipop,lollipop
钥匙,1,key,key
车钥匙,8,car key,car key
金属汤匙,1,Metal spoon,metal spoon
電池,2,Battery,battery
蓄电池,2,Accumulator,accumulator
充电电池,2,Rechargeable Battery,rechargeable battery
齿轮,1,gear,gear
牙齿,8,teeth,teeth
掉下来的牙齿,8,Falling teeth,falling teeth
尺,8,ruler,ruler
尺子,1,ruler,ruler
铁尺,1,Iron ruler,iron ruler
鸡翅,4,Chicken wings,chicken wings
鸡翅骨头,4,Chicken Wing Bones,chicken wing bones
白炽灯,2,Incandescent lamp,incandescent lamp
白炽灯泡,2,Incandescent bulb,incandescent bulb
充电宝,1,power Bank,power bank
充电器,1,charger,charger
充电线,1,Charging Cable,charging cable
冲泡饮料,4,Brewed drink,brewed drink
虫,4,insect,insect
虫子,4,insect,insect
米虫,4,Rice bug,rice bug
宠物毛,8,Pet hair,pet hair
抽纸,8,Draw paper,draw paper
绸带,1,Ribbon,ribbon
丝绸制品,1,Silk products,silk products
臭豆腐,4,Stinky Tofu,stinky tofu
臭鸡蛋,4,Rotten eggs,rotten eggs
臭袜子,8,Smelly socks,smelly socks
打印出来的纸,1,Printed paper,printed paper
厨余,4,Kitchen waste,kitchen waste
厨房纸,8,Kitchen paper,kitchen paper
厨房垃圾,4,Kitchen garbage,kitchen garbage
除草剂,2,herbicide,herbicide
除湿盒,1,Dehumidifier box,dehumidifier box
除湿机,1,dehumidifier,dehumidifier
传单,1,Flyer,flyer
传真机,1,fax machine,fax machine
传真纸,1,fax paper,fax paper
手串,8,Bracelets,bracelets
窗帘,1,curtain,curtain
窗纱,8,window screening,window screening
床单,1,sheet,sheet
创可贴,8,band Aid,band aid
创口贴,8,Bandage,bandage
用的创可贴,8,Band-Aid,bandaid
吹风机,1,hair dryer,hair dryer
电吹风,1,hair dryer,hair dryer
锤子,1,hammer,hammer
铁锤,1,Hammer,hammer
春梅,4,Spring plum,spring plum
唇膏,8,Lipstick,lipstick
润唇膏,8,lip balm,lip balm
磁带,8,Tape,tape
磁卡,8,Magnetic card,magnetic card
磁铁,1,magnet,magnet
瓷片,8,Tiles,tiles
瓷器,8,porcelain,porcelain
瓷碗,8,Porcelain bowl,porcelain bowl
鱼刺,4,Fishbone,fishbone
一次性碗,8,Disposable bowl,disposable bowl
一次塑料杯,8,One-time plastic cup,onetime plastic cup
一次性杯子,8,Disposable cup,disposable cup
葱,4,onion,onion
葱蒜,4,Shallots and garlic,shallots and garlic
大葱,4,Green onions,green onions
醋瓶,1,Vinegar bottle,vinegar bottle
脆骨,4,Brittle bones,brittle bones
水果脆,4,Fruit crisp,fruit crisp
内存条,1,RAM,ram
3.5英寸软盘,8,3.5 inch floppy disk, inch floppy disk
打包袋,8,Packing bag,packing bag
打包盒,8,Packing box,packing box
打底裤,1,Leggings,leggings
担担面,4,Carrying side,carrying side
鸡毛掸,8,Feather Duster,feather duster
鸡毛掸子,8,Feather duster,feather duster
海胆,4,sea ​​urchin,sea urchin
海胆壳,8,Sea urchin shell,sea urchin shell
鸡旦壳,4,Chicken shell,chicken shell
淡菜,4,Mussels,mussels
弹簧,1,spring,spring
子弹,8,bullet,bullet
蛋,4,Egg,egg
蛋糕,4,cake,cake
蛋黄,4,yolk,yolk
麦当劳纸袋,1,McDonald's paper bag,mcdonalds paper bag
刀片,1,blade,blade
飞刀,1,Flying knife,flying knife
剪刀,1,Scissors,scissors
导线,1,wire,wire
塑料管道,1,Plastic pipe,plastic pipe
拍立得,1,Polaroid,polaroid
的确良,1,Really good,really good
破的碗,8,Broken bowl,broken bowl
贝壳的肉,4,Shell meat,shell meat
灯管,2,Light tube,light tube
灯泡,2,Light bulb,light bulb
登山杖,1,Trekking poles,trekking poles
低温牛奶盒子,1,Low temperature milk box,low temperature milk box
竹笛,8,Bamboo flute,bamboo flute
底片,8,Film,film
粉底,8,Foundation,foundation
地毯,1,carpet,carpet
烟蒂,8,Cigarette butts,cigarette butts
香烟蒂,8,Cigarette butt,cigarette butt
抽完的烟蒂,8,Cigarette butts,cigarette butts
快递袋,8,Courier bag,courier bag
快递盒,1,Courier box,courier box
快递箱,1,Courier box,courier box
糕点,4,pastry,pastry
早点盒,8,Early box,early box
垫子,1,mat,mat
护垫,8,Pad,pad
电灯,1,Electric light,electric light
电锅,1,Electric pot,electric pot
淀粉,4,starch,starch
木雕,1,Woodcarving,woodcarving
掉落的头发,8,Falling hair,falling hair
吊牌,8,Tag,tag
衣服吊牌,8,Clothes tag,clothes tag
钓鱼竿,8,Fishing rod,fishing rod
钓鱼钩,8,Fishing hook,fishing hook
钓鱼线,8,Fishing line,fishing line
空调,1,air conditioner,air conditioner
空调机,1,air conditioner,air conditioner
空调扇,1,Air-conditioning fan,airconditioning fan
碟片,8,Disc,disc
光碟,8,CD,cd
碗碟,8,dishes,dishes
丁字裤,8,Thong,thong
铁钉,1,Nails,nails
图钉,8,Pushpin,pushpin
洋钉,1,Foreign nails,foreign nails
机顶盒,1,Set-top box,settop box
吸顶灯,2,Ceiling light,ceiling light
电视机顶盒,1,Television set-top box,television settop box
订书钉,8,Staples,staples
订书机,1,stapler,stapler
订书针,8,Staples,staples
冬瓜,4,Winter melon,winter melon
冬笋壳,4,Winter bamboo shoot shell,winter bamboo shoot shell
冬枣核,4,Winter Jujube Seeds,winter jujube seeds
动物毛,8,Animal hair,animal hair
果冻,4,jelly,jelly
果冻盒,8,Jelly box,jelly box
冷冻食品,4,frozen food,frozen food
电熨斗,1,Electric iron,electric iron
水斗漏网,8,Funnel,funnel
大豆,4,Soybeans,soybeans
豆腐,4,Tofu,tofu
豆类,4,Beans,beans
毒鼠强,2,Tetramine,tetramine
杀毒剂,2,Disinfectant,disinfectant
消毒药片,2,Disinfection tablets,disinfection tablets
电子书阅读器,1,E-book reader,ebook reader
杜蕾斯,8,Durex,durex
温度计,2,thermometer,thermometer
废温度计,2,Waste thermometer,waste thermometer
电子温度计,1,Electronic thermometer,electronic thermometer
短裤,8,shorts,shorts
缎带,1,ribbon,ribbon
多肉,4,Succulent,succulent
多肉植物,4,succulent plants,succulent plants
养乐多瓶,1,Yakult bottle,yakult bottle
花朵,4,Flowers,flowers
鹅,4,Goose,goose
儿童玩具,1,kids toys,kids toys
婴儿尿布,8,Baby diapers,baby diapers
耳环,1,earrings,earrings
耳机,1,earphone,earphone
耳屎,8,cerumen,cerumen
二手衣物,1,Second-hand clothing,secondhand clothing
发胶,8,Hair spray,hair spray
发蜡,8,Hair wax,hair wax
发票,8,bill,bill
盐酸伐昔洛韦片,2,Valaciclovir Hydrochloride Tablets,valaciclovir hydrochloride tablets
书法纸,1,Calligraphy paper,calligraphy paper
帆布包,1,canvas bag,canvas bag
番茄,4,tomato,tomato
番薯,4,Sweet potato,sweet potato
番茄酱,4,ketchup,ketchup
饭,4,Rice,rice
菜饭,4,Paella,paella
饭菜,4,Meal,meal
魔方,8,Rubik's Cube,rubiks cube
方便筷,8,Convenient chopsticks,convenient chopsticks
方便面,4,Instant noodles,instant noodles
防腐剂,8,preservative,preservative
纺织布,1,Textile cloth,textile cloth
纺织品,1,textile,textile
纺织物,1,Textiles,textiles
放大镜,1,magnifier,magnifier
录放机,1,VCR,vcr
咖啡,4,coffee,coffee
咖啡包,4,Coffee bag,coffee bag
咖啡袋,8,Coffee bag,coffee bag
飞机杯,8,Aircraft Cup,aircraft cup
肥料,8,fertilizer,fertilizer
肥皂,8,Soap,soap
花肥,8,Flower fertilizer,flower fertilizer
夫妻肺片,4,Husband and wife lung tablets,husband and wife lung tablets
废铝,1,Scrap aluminum,scrap aluminum
废书,1,Scrap book,scrap book
废铁,1,Scrap iron,scrap iron
电费账单,1,Electricity bill,electricity bill
粉笔,8,chalk,chalk
信封,1,envelope,envelope
封箱带,8,Sealing tape,sealing tape
密封袋,8,sealed bag,sealed bag
蜂蜜罐,1,Honey jar,honey jar
风扇,1,fan,fan
风衣,1,Windbreaker,windbreaker
风筝,8,Kite,kite
缝纫针,8,Sewing needle,sewing needle
敷料,8,dressing,dressing
护肤品,8,Skin care products,skin care products
润肤霜,1,Moisturizer,moisturizer
护肤霜瓶,1,Skin cream bottle,skin cream bottle
服装,1,clothing,clothing
衣服,1,clothing,clothing
废衣服,1,Waste clothes,waste clothes
腐肉,4,carrion,carrion
复写纸,8,carbon,carbon
复印机,1,Copier,copier
复印纸,1,Copy Paper,copy paper
富贵竹,4,Wealthy Bamboo,wealthy bamboo
高附加值可回收物,1,High value-added recyclables,high valueadded recyclables
咖啡纸杯(内表面附塑料膜),8,Coffee paper cup (with plastic film on the inner surface),coffee paper cup with plastic film on the inner surface
涂改笔,8,Correction pen,correction pen
氯化钙除湿剂,8,Calcium chloride dehumidifier,calcium chloride dehumidifier
笔盖,8,Pen cap,pen cap
锅盖,8,Lid,lid
铝盖,1,Aluminum cap,aluminum cap
干果,4,dried fruit,dried fruit
干花,4,Dried flowers,dried flowers
甘蔗,4,sugar cane,sugar cane
甘蔗皮,8,Sugarcane peel,sugarcane peel
甘蔗渣,4,Bagasse,bagasse
笔杆,8,pen,pen
晾衣杆,1,Clothes rail,clothes rail
桔柑,4,Tangerine,tangerine
竹竿,8,bamboo,bamboo
鸡肝,4,Chicken liver,chicken liver
感光片,2,Photosensitive film,photosensitive film
感冒药,2,Cold medicine,cold medicine
感光胶片,2,Sensitive film,sensitive film
麦秆,4,Wheat straw,wheat straw
钢笔,8,pen,pen
烟缸,1,Ashtray,ashtray
鱼缸,1,Fish tank,fish tank
高粱,4,Sorghum,sorghum
乐高,1,Lego,lego
高跟鞋,1,High heel,high heel
石膏,8,plaster,plaster
牙膏,8,toothpaste,toothpaste
糕饼,4,cake,cake
草稿纸,1,Draft paper,draft paper
写过的草稿纸,1,Scratch paper,scratch paper
广告单,1,leaflets,leaflets
广告纸,1,flyer,flyer
小广告,1,Small ad,small ad
大哥大,1,Big Brother,big brother
鸽子,4,Pigeon,pigeon
皮革,1,leather,leather
旧包皮革,1,Old bag leather,old bag leather
皮革制品,1,Leather,leather
蛤蜊,8,clams,clams
蛤蟆,4,Toad,toad
花蛤,8,Flower clam,flower clam
隔离霜,8,Base cream,base cream
隔夜菜,4,Overnight dishes,overnight dishes
个人计算机,1,Personal computer,personal computer
各式皮包,1,All kinds of leather bags,all kinds of leather bags
各类刀、刀片,1,All kinds of knives and blades,all kinds of knives and blades
各类过期食品,4,All kinds of expired food,all kinds of expired food
菜根,4,Root,root
树根,4,root,root
菜梗,4,Vegetable stem,vegetable stem
桔梗,4,Platycodon,platycodon
菜梗菜叶,4,Nakyo green leaf,nakyo green leaf
工资卡,1,Salary card,salary card
美工刀,1,Utility knife,utility knife
公仔,1,Doll,doll
公交卡,1,Bus card,bus card
含汞体温计,2,Mercury thermometer,mercury thermometer
含汞温度计,2,Mercury thermometer,mercury thermometer
含汞血压计,2,Mercury sphygmomanometer,mercury sphygmomanometer
铁钩,1,Iron hook,iron hook
勾线笔,8,Hook line pen,hook line pen
水垢,8,Scale,scale
购物纸袋,1,Shopping paper bag,shopping paper bag
塑料购物袋,8,Plastic shopping bag,plastic shopping bag
纸质购物袋,1,Paper shopping bag,paper shopping bag
菌菇,4,Mushroom,mushroom
蘑菇,4,mushroom,mushroom
香菇,4,mushroom,mushroom
晒鼓墨盒,1,Tantan Cartridge,tantan cartridge
古筝,16,Guzheng,guzheng
大骨,8,Large bone,large bone
谷物,4,cereals,cereals
鸡屁股,4,Chicken butt,chicken butt
鸭屁股,4,Duck butt,duck butt
烟屁股,8,Cigarette butt,cigarette butt
固体胶,8,Solid glue,solid glue
雨刮器,8,Wiper,wiper
刮胡子刀片,1,Shaving blade,shaving blade
汽车雨刮器,8,Car wiper,car wiper
瓜,4,melon,melon
瓜果,4,Melons and fruits,melons and fruits
挂历,1,Wall calendar,wall calendar
挂钟,1,wall clock,wall clock
挂号纸,1,Registered paper,registered paper
铝管,1,Aluminum tube,aluminum tube
吸管,8,straw,straw
罐头,1,can,can
铝罐,1,Aluminum can,aluminum can
陶罐,8,Earthenware pot,earthenware pot
光盘,8,CD,cd
光驱,1,Optical drive,optical drive
玫瑰,4,Rose,rose
玫瑰花,4,Rose flower,rose flower
干枯玫瑰花,4,Dry rose,dry rose
硅胶,8,Silica gel,silica gel
乌龟壳,8,Tortoise shell,tortoise shell
桂圆,4,Longan,longan
桂圆核,4,Longan nucleus,longan nucleus
桂圆壳,4,Longan Shell,longan shell
铁棍,1,Iron rod,iron rod
冰棍棒,8,Popsicle stick,popsicle stick
糖葫芦棍,8,Candied haws stick,candied haws stick
锅,1,pot,pot
过滤盒,8,Filter box,filter box
过滤器,8,filter,filter
哈密瓜皮,4,Cantaloupe peel,cantaloupe peel
孩子尿片,8,Baby diapers,baby diapers
小孩尿布,8,Baby diapers,baby diapers
海带,4,kelp,kelp
有害垃圾,2,Hazardous waste,hazardous waste
含油抹布,8,Oily wipes,oily wipes
焊丝,1,Welding wire,welding wire
汗衫,1,undershirt,undershirt
记号笔,8,Marker pen,marker pen
取号纸,8,Number paper,number paper
喝过的茶叶,4,Drunk tea,drunk tea
喝完的药瓶,2,Finished medicine bottle,finished medicine bottle
喝过的茶叶渣,4,Tea dregs,tea dregs
荷包蛋,4,Poached egg,poached egg
果核,4,Pit,pit
梨核,4,Pear core,pear core
桃核,4,Peach pit,peach pit
糖和藕粉,4,Sugar and lotus root powder,sugar and lotus root powder
铝合金,1,Aluminum alloy,aluminum alloy
复合包装,8,Composite packaging,composite packaging
合金玩具,1,Alloy toys,alloy toys
笔盒,1,Pen case,pen case
饭盒,8,lunch box,lunch box
河豚,4,Pufferfish,pufferfish
贺卡,1,Greeting card,greeting card
黑豆,4,Black beans,black beans
黑猪,4,Black pig,black pig
烘干机,1,Dryer,dryer
烘手器,1,Hand dryer,hand dryer
红笔,8,Red pen,red pen
红薯,4,sweet potato,sweet potato
猕猴桃,4,Kiwi,kiwi
厚纸板,1,Cardboard,cardboard
厚塑料袋,8,Thick plastic bag,thick plastic bag
厚型塑料袋,8,Thick plastic bag,thick plastic bag
粉碎后的打印纸,8,Shredded printing paper,shredded printing paper
洗净后的牛奶盒,1,Milk carton after washing,milk carton after washing
打印后的彩色照片,2,Color photo after printing,color photo after printing
呼叫器,1,pager,pager
珊瑚,8,coral,coral
茶壶,8,teapot,teapot
油壶,1,Oil can,oil can
玻璃壶,1,Glass jug,glass jug
胡子,8,beard,beard
胡椒粉,4,pepper,pepper
浆糊,8,paste,paste
虎牙,8,Huya,huya
护目镜,8,Goggles,goggles
花,4,flower,flower
菜花,4,cauliflower,cauliflower
华为手机,1,Huawei cell phone,huawei cell phone
金华火腿,4,Jinhua ham,jinhua ham
精华液瓶,1,Essence bottle,essence bottle
防滑垫,1,Non-slip mat,nonslip mat
润滑剂,8,Lubricant,lubricant
润滑油,8,lubricating oil,lubricating oil
画笔,8,brush,brush
画纸,1,Drawing paper,drawing paper
胶画,8,Glue painting,glue painting
绿化,4,Greening,greening
钢化膜,8,Tempered film,tempered film
电话,1,telephone,telephone
话梅,4,Plum,plum
话筒,1,microphone,microphone
坏发卡,8,Bad issuance,bad issuance
坏钢笔,8,Bad pen,bad pen
手环,8,wristband,wristband
环保袋,1,Eco Bag,eco bag
黄豆,4,soy,soy
黄瓜,4,cucumber,cucumber
灰,8,Ash,ash
徽章,8,badge,badge
回收物,1,Recycled content,recycled content
回形针,8,paper clip,paper clip
可回收,1,Recyclable,recyclable
花卉,4,flowers,flowers
花卉绿植,4,Flowers and green plants,flowers and green plants
花卉植物,4,Flower plant,flower plant
会员卡,1,membership card,membership card
婚戒,1,Wedding ring,wedding ring
结婚证书,1,Marriage certificate,marriage certificate
活性炭,8,Activated carbon,activated carbon
活性炭滤芯,8,Activated carbon filter,activated carbon filter
火锅,4,hot pot,hot pot
干货,4,Dry goods,dry goods
干垃圾,8,Dry garbage,dry garbage
干拉圾,8,Dry garbage,dry garbage
垃圾袋,8,garbage bag,garbage bag
火机,8,Lighter,lighter
积木,1,blocks,blocks
木积木,1,Wooden blocks,wooden blocks
塑料积木,1,plastic Lego,plastic lego
冰激淋,4,Ice cream,ice cream
冰激凌,4,Ice cream,ice cream
冰激凌木棒,8,Ice cream stick,ice cream stick
鸡,4,Chick,chick
鸡蛋,4,egg,egg
书籍,1,books,books
水产及其加工食品,4,Aquatic products and processed foods,aquatic products and processed foods
食物残渣及宠物饲料,4,Food scraps and pet feed,food scraps and pet feed
急支糖浆,2,Emergency syrup,emergency syrup
月季,4,Chinese rose,chinese rose
药剂,2,Pharmacy,pharmacy
除湿剂,8,Dehumidifier,dehumidifier
计算机,1,computer,computer
计算器,1,Calculator,calculator
体温计,2,thermometer,thermometer
笔记本,1,notebook,notebook
笔记本纸,1,Notebook paper,notebook paper
夹克,1,jacket,jacket
衣夹,8,clothespin,clothespin
马夹袋,8,Waistbag,waistbag
家电,1,Home appliances,home appliances
废家电,1,Waste home appliances,waste home appliances
加湿器,1,humidifier,humidifier
加工类食品,4,Processed food,processed food
肉蛋加工食品,4,Meat and Egg Processed Food,meat and egg processed food
花甲,8,Sixtieth,sixtieth
甲油,2,Nail polish,nail polish
甲鱼,4,Turtle,turtle
高铁酸钾,2,Potassium Ferrate,potassium ferrate
假发,8,wig,wig
假牙,8,denture,denture
假发套,8,Wig sets,wig sets
铁架,1,Iron frame,iron frame
坚果,8,nut,nut
坚果壳,8,Nut shell,nut shell
坚果果壳,8,Nut shell,nut shell
卫生间纸,8,Toilet paper,toilet paper
打印间碎纸,1,Shredded paper in print room,shredded paper in print room
卫生间废纸,8,Toilet waste paper,toilet waste paper
煎鍋,1,Frying pan,frying pan
生煎,4,Pan Fried Dumpling,pan fried dumpling
生煎包,4,Pan Fried Bun,pan fried bun
碱性无汞电池,8,Alkaline mercury-free battery,alkaline mercuryfree battery
剪纸,8,Paper cut,paper cut
剪子,1,scissors,scissors
键盘,1,keyboard,keyboard
废键盘,1,Waste keyboard,waste keyboard
文件袋,8,file holder,file holder
文件夹,1,folder,folder
过期保健品,2,Expired health products,expired health products
蜜饯,4,Candied fruit,candied fruit
姜,4,ginger,ginger
生姜,4,ginger,ginger
麻将牌,8,Mahjong tiles,mahjong tiles
麻将台,1,Mahjong Table,mahjong table
豆浆袋,8,Soy milk bag,soy milk bag
豆浆袋子,8,Soy milk bag,soy milk bag
果酱,4,jam,jam
酱料,4,Sauce,sauce
酱汁,4,Sauce,sauce
可降解塑料,1,Biodegradable plastic,biodegradable plastic
可降解垃圾袋,8,Degradable garbage bag,degradable garbage bag
可降解塑料袋,8,Biodegradable plastic bag,biodegradable plastic bag
香蕉,4,banana,banana
烂香蕉,4,Rotten banana,rotten banana
菜椒,4,Cauliflower,cauliflower
花椒,4,Sichuan peppercorn,sichuan peppercorn
辣椒,4,chili,chili
交通卡,1,Traffic card,traffic card
木质搅拌棒,8,Wooden stirring rod,wooden stirring rod
泔脚,4,Slap,slap
脚皮,8,Foot skin,foot skin
猪脚,4,Pig's feet,pigs feet
菱角,4,water chestnut,water chestnut
牛角,8,Horns,horns
饺子,4,dumpling,dumpling
水饺,4,Dumplings,dumplings
水饺袋,8,Dumpling bag,dumpling bag
污染较严重的纸张,8,More contaminated paper,more contaminated paper
接线板,1,Wiring board,wiring board
节能灯,2,Energy-saving lamps,energysaving lamps
废节能灯,2,Waste energy-saving lamps,waste energysaving lamps
节能灯管,2,Energy-saving lamps,energysaving lamps
桔,4,Tangerine,tangerine
假睫毛,8,Fake eyelashes,fake eyelashes
睫毛膏,8,mascara,mascara
睫毛刷,8,Eyelash brush,eyelash brush
清洁瓶,1,Clean bottle,clean bottle
毛豆结,4,Edamame Knot,edamame knot
