cn,label,en
水产类弃物,4,Aquatic waste
常温牛奶盒,1,Room temperature milk carton
常温牛奶盒子,1,Room temperature milk box
平常喝的茶叶,4,Tea that I usually drink
长靴,1,Boots
长毛绒,1,plush
长生果,4,Longevity fruit
红肠,4,Red Sausage
香肠,4,sausage
鱼肠,4,Fish intestines
唱片,8,record
黑胶唱片,8,Vinyl Records
超能胶,8,Super Glue
手抄报,8,Manuscript
点钞机,1,Money counter
过朝食品,4,Guochao Food
防潮盒,1,Moisture-proof box
防潮剂,8,Anti-moisture agent
吸潮剂,8,Moisture Absorbent
炒面,4,Fried noodles
炒板栗,4,Fried chestnut
炒花生壳,4,Fried peanut shells
尘土,8,dust
灰尘,8,dust
陈皮,4,Tangerine peel
衬衫,1,shirt
衬衣,1,shirt
橙,4,Orange
橙皮,4,Orange peel
橙子,4,Orange
中成药,2,Chinese patent medicine
成人尿布,8,Adult diapers
集成电路板,1,Integrated circuit board
体重秤,1,weighing scale
吃过的甘蔗,4,Eaten sugarcane
吃剩的快餐,4,Leftover fast food
吃过的棒棒糖,8,Lollipop
钥匙,1,key
车钥匙,8,car key
金属汤匙,1,Metal spoon
電池,2,Battery
蓄电池,2,Accumulator
充电电池,2,Rechargeable Battery
齿轮,1,gear
牙齿,8,teeth
掉下来的牙齿,8,Falling teeth
尺,8,ruler
尺子,1,ruler
铁尺,1,Iron ruler
鸡翅,4,Chicken wings
鸡翅骨头,4,Chicken Wing Bones
白炽灯,2,Incandescent lamp
白炽灯泡,2,Incandescent bulb
充电宝,1,power Bank
充电器,1,charger
充电线,1,Charging Cable
冲泡饮料,4,Brewed drink
虫,4,insect
虫子,4,insect
米虫,4,Rice bug
宠物毛,8,Pet hair
抽纸,8,Draw paper
绸带,1,Ribbon
丝绸制品,1,Silk products
臭豆腐,4,Stinky Tofu
臭鸡蛋,4,Rotten eggs
臭袜子,8,Smelly socks
打印出来的纸,1,Printed paper
厨余,4,Kitchen waste
厨房纸,8,Kitchen paper
厨房垃圾,4,Kitchen garbage
除草剂,2,herbicide
除湿盒,1,Dehumidifier box
除湿机,1,dehumidifier
传单,1,Flyer
传真机,1,fax machine
传真纸,1,fax paper
手串,8,Bracelets
窗帘,1,curtain
窗纱,8,window screening
床单,1,sheet
创可贴,8,band Aid
创口贴,8,Bandage
用的创可贴,8,Band-Aid
吹风机,1,hair dryer
电吹风,1,hair dryer
锤子,1,hammer
铁锤,1,Hammer
春梅,4,Spring plum
唇膏,8,Lipstick
润唇膏,8,lip balm
磁带,8,Tape
磁卡,8,Magnetic card
磁铁,1,magnet
瓷片,8,Tiles
瓷器,8,porcelain
瓷碗,8,Porcelain bowl
鱼刺,4,Fishbone
一次性碗,8,Disposable bowl
一次塑料杯,8,One-time plastic cup
一次性杯子,8,Disposable cup
葱,4,onion
葱蒜,4,Shallots and garlic
大葱,4,Green onions
醋瓶,1,Vinegar bottle
脆骨,4,Brittle bones
水果脆,4,Fruit crisp
内存条,1,RAM
3.5英寸软盘,8,3.5 inch floppy disk
打包袋,8,Packing bag
打包盒,8,Packing box
打底裤,1,Leggings
担担面,4,Carrying side
鸡毛掸,8,Feather Duster
鸡毛掸子,8,Feather duster
海胆,4,sea ​​urchin
海胆壳,8,Sea urchin shell
鸡旦壳,4,Chicken shell
淡菜,4,Mussels
弹簧,1,spring
子弹,8,bullet
蛋,4,Egg
蛋糕,4,cake
蛋黄,4,yolk
麦当劳纸袋,1,McDonald's paper bag
刀片,1,blade
飞刀,1,Flying knife
剪刀,1,Scissors
导线,1,wire
塑料管道,1,Plastic pipe
拍立得,1,Polaroid
的确良,1,Really good
破的碗,8,Broken bowl
贝壳的肉,4,Shell meat
灯管,2,Light tube
灯泡,2,Light bulb
登山杖,1,Trekking poles
低温牛奶盒子,1,Low temperature milk box
竹笛,8,Bamboo flute
底片,8,Film
粉底,8,Foundation
地毯,1,carpet
烟蒂,8,Cigarette butts
香烟蒂,8,Cigarette butt
抽完的烟蒂,8,Cigarette butts
快递袋,8,Courier bag
快递盒,1,Courier box
快递箱,1,Courier box
糕点,4,pastry
早点盒,8,Early box
垫子,1,mat
护垫,8,Pad
电灯,1,Electric light
电锅,1,Electric pot
淀粉,4,starch
木雕,1,Woodcarving
掉落的头发,8,Falling hair
吊牌,8,Tag
衣服吊牌,8,Clothes tag
钓鱼竿,8,Fishing rod
钓鱼钩,8,Fishing hook
钓鱼线,8,Fishing line
空调,1,air conditioner
空调机,1,air conditioner
空调扇,1,Air-conditioning fan
碟片,8,Disc
光碟,8,CD
碗碟,8,dishes
丁字裤,8,Thong
铁钉,1,Nails
图钉,8,Pushpin
洋钉,1,Foreign nails
机顶盒,1,Set-top box
吸顶灯,2,Ceiling light
电视机顶盒,1,Television set-top box
订书钉,8,Staples
订书机,1,stapler
订书针,8,Staples
冬瓜,4,Winter melon
冬笋壳,4,Winter bamboo shoot shell
冬枣核,4,Winter Jujube Seeds
动物毛,8,Animal hair
果冻,4,jelly
果冻盒,8,Jelly box
冷冻食品,4,frozen food
电熨斗,1,Electric iron
水斗漏网,8,Funnel
大豆,4,Soybeans
豆腐,4,Tofu
豆类,4,Beans
毒鼠强,2,Tetramine
杀毒剂,2,Disinfectant
消毒药片,2,Disinfection tablets
电子书阅读器,1,E-book reader
杜蕾斯,8,Durex
温度计,2,thermometer
废温度计,2,Waste thermometer
电子温度计,1,Electronic thermometer
短裤,8,shorts
缎带,1,ribbon
多肉,4,Succulent
多肉植物,4,succulent plants
养乐多瓶,1,Yakult bottle
花朵,4,Flowers
鹅,4,Goose
儿童玩具,1,kids toys
婴儿尿布,8,Baby diapers
耳环,1,earrings
耳机,1,earphone
耳屎,8,cerumen
二手衣物,1,Second-hand clothing
发胶,8,Hair spray
发蜡,8,Hair wax
发票,8,bill
盐酸伐昔洛韦片,2,Valaciclovir Hydrochloride Tablets
书法纸,1,Calligraphy paper
帆布包,1,canvas bag
番茄,4,tomato
番薯,4,Sweet potato
番茄酱,4,ketchup
饭,4,Rice
菜饭,4,Paella
饭菜,4,Meal
魔方,8,Rubik's Cube
方便筷,8,Convenient chopsticks
方便面,4,Instant noodles
防腐剂,8,preservative
纺织布,1,Textile cloth
纺织品,1,textile
纺织物,1,Textiles
放大镜,1,magnifier
录放机,1,VCR
咖啡,4,coffee
咖啡包,4,Coffee bag
咖啡袋,8,Coffee bag
飞机杯,8,Aircraft Cup
肥料,8,fertilizer
肥皂,8,Soap
花肥,8,Flower fertilizer
夫妻肺片,4,Husband and wife lung tablets
废铝,1,Scrap aluminum
废书,1,Scrap book
废铁,1,Scrap iron
电费账单,1,Electricity bill
粉笔,8,chalk
信封,1,envelope
封箱带,8,Sealing tape
密封袋,8,sealed bag
蜂蜜罐,1,Honey jar
风扇,1,fan
风衣,1,Windbreaker
风筝,8,Kite
缝纫针,8,Sewing needle
敷料,8,dressing
护肤品,8,Skin care products
润肤霜,1,Moisturizer
护肤霜瓶,1,Skin cream bottle
服装,1,clothing
衣服,1,clothing
废衣服,1,Waste clothes
腐肉,4,carrion
复写纸,8,carbon
复印机,1,Copier
复印纸,1,Copy Paper
富贵竹,4,Wealthy Bamboo
高附加值可回收物,1,High value-added recyclables
咖啡纸杯(内表面附塑料膜),8,Coffee paper cup (with plastic film on the inner surface)
涂改笔,8,Correction pen
氯化钙除湿剂,8,Calcium chloride dehumidifier
笔盖,8,Pen cap
锅盖,8,Lid
铝盖,1,Aluminum cap
干果,4,dried fruit
干花,4,Dried flowers
甘蔗,4,sugar cane
甘蔗皮,8,Sugarcane peel
甘蔗渣,4,Bagasse
笔杆,8,pen
晾衣杆,1,Clothes rail
桔柑,4,Tangerine
竹竿,8,bamboo
鸡肝,4,Chicken liver
感光片,2,Photosensitive film
感冒药,2,Cold medicine
感光胶片,2,Sensitive film
麦秆,4,Wheat straw
钢笔,8,pen
烟缸,1,Ashtray
鱼缸,1,Fish tank
高粱,4,Sorghum
乐高,1,Lego
高跟鞋,1,High heel
石膏,8,plaster
牙膏,8,toothpaste
糕饼,4,cake
草稿纸,1,Draft paper
写过的草稿纸,1,Scratch paper
广告单,1,leaflets
广告纸,1,flyer
小广告,1,Small ad
大哥大,1,Big Brother
鸽子,4,Pigeon
皮革,1,leather
旧包皮革,1,Old bag leather
皮革制品,1,Leather
蛤蜊,8,clams
蛤蟆,4,Toad
花蛤,8,Flower clam
隔离霜,8,Base cream
隔夜菜,4,Overnight dishes
个人计算机,1,Personal computer
各式皮包,1,All kinds of leather bags
各类刀、刀片,1,All kinds of knives and blades
各类过期食品,4,All kinds of expired food
菜根,4,Root
树根,4,root
菜梗,4,Vegetable stem
桔梗,4,Platycodon
菜梗菜叶,4,Nakyo green leaf
工资卡,1,Salary card
美工刀,1,Utility knife
公仔,1,Doll
公交卡,1,Bus card
含汞体温计,2,Mercury thermometer
含汞温度计,2,Mercury thermometer
含汞血压计,2,Mercury sphygmomanometer
铁钩,1,Iron hook
勾线笔,8,Hook line pen
水垢,8,Scale
购物纸袋,1,Shopping paper bag
塑料购物袋,8,Plastic shopping bag
纸质购物袋,1,Paper shopping bag
菌菇,4,Mushroom
蘑菇,4,mushroom
香菇,4,mushroom
晒鼓墨盒,1,Tantan Cartridge
古筝,16,Guzheng
大骨,8,Large bone
谷物,4,cereals
鸡屁股,4,Chicken butt
鸭屁股,4,Duck butt
烟屁股,8,Cigarette butt
固体胶,8,Solid glue
雨刮器,8,Wiper
刮胡子刀片,1,Shaving blade
汽车雨刮器,8,Car wiper
瓜,4,melon
瓜果,4,Melons and fruits
挂历,1,Wall calendar
挂钟,1,wall clock
挂号纸,1,Registered paper
铝管,1,Aluminum tube
吸管,8,straw
罐头,1,can
铝罐,1,Aluminum can
陶罐,8,Earthenware pot
光盘,8,CD
光驱,1,Optical drive
玫瑰,4,Rose
玫瑰花,4,Rose flower
干枯玫瑰花,4,Dry rose
硅胶,8,Silica gel
乌龟壳,8,Tortoise shell
桂圆,4,Longan
桂圆核,4,Longan nucleus
桂圆壳,4,Longan Shell
铁棍,1,Iron rod
冰棍棒,8,Popsicle stick
糖葫芦棍,8,Candied haws stick
锅,1,pot
过滤盒,8,Filter box
过滤器,8,filter
哈密瓜皮,4,Cantaloupe peel
孩子尿片,8,Baby diapers
小孩尿布,8,Baby diapers
海带,4,kelp
有害垃圾,2,Hazardous waste
含油抹布,8,Oily wipes
焊丝,1,Welding wire
汗衫,1,undershirt
记号笔,8,Marker pen
取号纸,8,Number paper
喝过的茶叶,4,Drunk tea
喝完的药瓶,2,Finished medicine bottle
喝过的茶叶渣,4,Tea dregs
荷包蛋,4,Poached egg
果核,4,Pit
梨核,4,Pear core
桃核,4,Peach pit
糖和藕粉,4,Sugar and lotus root powder
铝合金,1,Aluminum alloy
复合包装,8,Composite packaging
合金玩具,1,Alloy toys
笔盒,1,Pen case
饭盒,8,lunch box
河豚,4,Pufferfish
贺卡,1,Greeting card
黑豆,4,Black beans
黑猪,4,Black pig
烘干机,1,Dryer
烘手器,1,Hand dryer
红笔,8,Red pen
红薯,4,sweet potato
猕猴桃,4,Kiwi
厚纸板,1,Cardboard
厚塑料袋,8,Thick plastic bag
厚型塑料袋,8,Thick plastic bag
粉碎后的打印纸,8,Shredded printing paper
洗净后的牛奶盒,1,Milk carton after washing
打印后的彩色照片,2,Color photo after printing
呼叫器,1,pager
珊瑚,8,coral
茶壶,8,teapot
油壶,1,Oil can
玻璃壶,1,Glass jug
胡子,8,beard
胡椒粉,4,pepper
浆糊,8,paste
虎牙,8,Huya
护目镜,8,Goggles
花,4,flower
菜花,4,cauliflower
华为手机,1,Huawei cell phone
金华火腿,4,Jinhua ham
精华液瓶,1,Essence bottle
防滑垫,1,Non-slip mat
润滑剂,8,Lubricant
润滑油,8,lubricating oil
画笔,8,brush
画纸,1,Drawing paper
胶画,8,Glue painting
绿化,4,Greening
钢化膜,8,Tempered film
电话,1,telephone
话梅,4,Plum
话筒,1,microphone
坏发卡,8,Bad issuance
坏钢笔,8,Bad pen
手环,8,wristband
环保袋,1,Eco Bag
黄豆,4,soy
黄瓜,4,cucumber
灰,8,Ash
徽章,8,badge
回收物,1,Recycled content
回形针,8,paper clip
可回收,1,Recyclable
花卉,4,flowers
花卉绿植,4,Flowers and green plants
花卉植物,4,Flower plant
会员卡,1,membership card
婚戒,1,Wedding ring
结婚证书,1,Marriage certificate
活性炭,8,Activated carbon
活性炭滤芯,8,Activated carbon filter
火锅,4,hot pot
干货,4,Dry goods
干垃圾,8,Dry garbage
干拉圾,8,Dry garbage
垃圾袋,8,garbage bag
火机,8,Lighter
积木,1,blocks
木积木,1,Wooden blocks
塑料积木,1,plastic Lego
冰激淋,4,Ice cream
冰激凌,4,Ice cream
冰激凌木棒,8,Ice cream stick
鸡,4,Chick
鸡蛋,4,egg
书籍,1,books
水产及其加工食品,4,Aquatic products and processed foods
食物残渣及宠物饲料,4,Food scraps and pet feed
急支糖浆,2,Emergency syrup
月季,4,Chinese rose
药剂,2,Pharmacy
除湿剂,8,Dehumidifier
计算机,1,computer
计算器,1,Calculator
体温计,2,thermometer
笔记本,1,notebook
笔记本纸,1,Notebook paper
夹克,1,jacket
衣夹,8,clothespin
马夹袋,8,Waistbag
家电,1,Home appliances
废家电,1,Waste home appliances
加湿器,1,humidifier
加工类食品,4,Processed food
肉蛋加工食品,4,Meat and Egg Processed Food
花甲,8,Sixtieth
甲油,2,Nail polish
甲鱼,4,Turtle
高铁酸钾,2,Potassium Ferrate
假发,8,wig
假牙,8,denture
假发套,8,Wig sets
铁架,1,Iron frame
坚果,8,nut
坚果壳,8,Nut shell
坚果果壳,8,Nut shell
卫生间纸,8,Toilet paper
打印间碎纸,1,Shredded paper in print room
卫生间废纸,8,Toilet waste paper
煎鍋,1,Frying pan
生煎,4,Pan Fried Dumpling
生煎包,4,Pan Fried Bun
碱性无汞电池,8,Alkaline mercury-free battery
剪纸,8,Paper cut
剪子,1,scissors
键盘,1,keyboard
废键盘,1,Waste keyboard
文件袋,8,file holder
文件夹,1,folder
过期保健品,2,Expired health products
蜜饯,4,Candied fruit
姜,4,ginger
生姜,4,ginger
麻将牌,8,Mahjong tiles
麻将台,1,Mahjong Table
豆浆袋,8,Soy milk bag
豆浆袋子,8,Soy milk bag
果酱,4,jam
酱料,4,Sauce
酱汁,4,Sauce
可降解塑料,1,Biodegradable plastic
可降解垃圾袋,8,Degradable garbage bag
可降解塑料袋,8,Biodegradable plastic bag
香蕉,4,banana
烂香蕉,4,Rotten banana
菜椒,4,Cauliflower
花椒,4,Sichuan peppercorn
辣椒,4,chili
交通卡,1,Traffic card
木质搅拌棒,8,Wooden stirring rod
泔脚,4,Slap
脚皮,8,Foot skin
猪脚,4,Pig's feet
菱角,4,water chestnut
牛角,8,Horns
饺子,4,dumpling
水饺,4,Dumplings
水饺袋,8,Dumpling bag
污染较严重的纸张,8,More contaminated paper
接线板,1,Wiring board
节能灯,2,Energy-saving lamps
废节能灯,2,Waste energy-saving lamps
节能灯管,2,Energy-saving lamps
桔,4,Tangerine
假睫毛,8,Fake eyelashes
睫毛膏,8,mascara
睫毛刷,8,Eyelash brush
清洁瓶,1,Clean bottle
毛豆结,4,Edamame Knot
结成团的猫砂,8,Clumped cat litter
戒指,1,ring
金戒指,1,gold ring
毛巾,8,towel
湿巾,8,Wipes
牛筋,4,Beef tendon
皮筋,8,Rubber band
黄金,1,gold
金属,1,Metal
金鱼,4,goldfish
香烟灰烬,8,Cigarette ashes
根茎蔬菜,4,Root vegetables
蔬菜茎叶,4,Vegetable stems and leaves
水果茎枝,4,Fruit stems
液晶屏,1,LCD screen
液晶电视,1,LCD TV
鸡精,4,Chicken Essence
味精,4,MSG
镜子,8,Mirror
墨镜,8,sunglasses
眼镜,8,Glasses
净水器,1,Water Purifier
干净塑料,1,Clean plastic
净水滤芯,8,Water purification filter
韭菜,4,Chinese chives
针灸针,8,Acupuncture needles
酒酿,4,Fermented rice
酒瓶,1,Wine bottle
旧报,1,Old newspaper
旧书,1,Old book
旧鞋,1,Old shoes
聚乙烯饭盒,8,Polyethylene lunch box
收据,8,Receipt
数据线,1,Data line
皮具,1,Leather goods
蛋卷,4,Egg roll
胶卷,2,film
卷烟,8,cigarette
杀菌剂,2,Fungicide
无菌包装塑料,8,Aseptic packaging plastic
卡,8,Card
开心果,4,pistachio
开心果壳,4,Pistachio shell
旧报刊,1,Old newspapers
糠,4,bran
糠饼,4,Bran cake
考卷,1,Test paper
考试卷,1,Examination papers
烤箱,1,oven
烧烤棒,8,BBQ stick
靠垫,1,Cushion
靠枕,1,pillow
笔壳,8,Pen case
咳嗽糖浆,2,Cough syrup
可擦笔,8,Erasable pen
扑克,1,poker
马克笔,8,marker
空罐头,1,Empty can
空酒瓶,1,Empty wine bottle
遥控车,1,Remote control car
遥控器,1,remote control
空调遥控器,1,air-conditioner remote
口红,8,Lipstick
口罩,8,Facial mask
纽扣,8,Buttons
钮扣,8,Buttons
纽扣电池,2,Button Battery
枯叶,4,Dead leaves
枯枝,4,Dead branches
干枯花,4,Dried flower
裤袜,1,Tights
裤子,1,Pants
铁块,1,Iron block
筷子,8,Chopsticks
木筷,1,Wooden chopsticks
竹筷,8,Bamboo chopsticks
快餐盒,8,Fast food box
塑料筐,1,Plastic baskets
塑料篮筐,1,Plastic basket
塑料水果筐,1,Plastic fruit basket
相框,1,Photo frame
黑框眼镜,8,Black-rimmed glasses
矿水瓶,1,Mineral water bottle
矿泉水瓶,1,Mineral water bottles
矿泉水瓶子,1,Mineral water bottle
头盔,8,helmet
葵花籽,4,Sunflower seeds
葵花子壳,4,Sunflower husk
葵花籽壳,4,Sunflower husk
死昆虫,4,Dead insects
垃圾桶,1,garbage can
拉链,8,zipper
拉拉裤,8,Pull-up pants
蜡笔,8,crayon
蜡纸,8,stencil
腊肉,4,Bacon
辣酱,4,Hot sauce
辣条,4,Spicy strips
剩莱,4,Leftover
一次性莱盒,8,One-time Lei Box
自来水滤芯,8,Tap water filter
蓝莓干,4,Dried blueberries
塑胶菜蓝子,1,Plastic cabbage
花篮,8,Flower basket
篮球,1,basketball
竹篮,8,Bamboo basket
西兰花,4,broccoli
电缆,1,cable
烂桔,4,Rotten orange
烂桃,4,Rotten peach
烂菜叶,4,Rotten leaves
槟榔,4,Betel nut
榔头,1,Hammer
槟榔壳,4,Betel nut shell
老鼠药,2,Rat poison
死老鼠,4,dead mouse
奶酪,4,cheese
可乐杯,8,Coke cup
可乐罐,1,Coke can
肋骨,8,rib cage
肋排,4,Ribs
布类,1,Cloth
蛋类,4,Eggs
擦眼泪的纸,8,Paper for wiping tears
瓦楞纸,1,corrugated paper
冷饮,8,cold drink
冷饮棒,8,Cold drink stick
冷饮袋,8,Cold drink bag
车厘子,4,cherries
梨,4,pear
离心纸,8,Centrifuge paper
钢笔里的墨囊,8,Ink sac in a pen
纸制糖果礼盒,1,Paper candy gift box
荔枝核,4,Lychee
荔枝壳,4,Lychee Shell
荔枝干壳,4,Lychee Dried Shell
栗子,4,Chestnut
板栗壳,4,Chestnut shell
可丽饼,4,Crepe
麦丽素,4,Melissa
日历,1,calendar
台历,1,Desk calendar
便利贴,8,Post-it
乐利包,1,Le Li Bao
利乐包,1,Tetra Pak
果粒,4,Fruit
牛肉粒包装袋,8,Beef cube packaging bag
沥水架,1,Drain rack
磁力片,8,Magnetic sheet
魔力擦,8,Magic wipe
巧克力,4,chocolate
琉璃,1,Liuli
联通卡,8,Unicom Card
莲藕,4,Lotus root
莲蓬,4,Lotus
莲雾,4,wax apple
连裤袜,1,Pantyhose
连衣裙,1,dress
骨肉相连,4,Connected with flesh and blood
洗脸巾,8,Face towel
护脸霜瓶,1,Face cream bottle
塑料脸盆,1,Plastic washbasin
项链,1,necklace
金属拉链,1,Metal zipper
练习本,1,excercise book
狗粮,4,Dog food
粮食,4,food
猫粮,4,Cat food
凉皮,4,Liangpi
凉席,8,Summer mat
空调两用风扇,1,Air conditioner dual purpose fan
少量泥土,8,A small amount of soil
晾衣架,1,Drying rack
塑料晾衣架,1,Plastic drying rack
坏了的碗,1,Broken bowl
破了的碗,1,Broken bowl
坏了的玩具,1,Broken toy
布料,1,Cloth
盘尼西林,2,penicillin
鱼鳞,4,Fish scales
鱼鳞鱼肠,4,Fish scales fish intestines
冰淇淋,4,ice cream
零食,4,snack
零食袋,8,Snack bag
零食罐,8,Snack jar
哑铃,1,dumbbel
马铃薯,4,potato
马铃薯片,4,Potato chips
领带,1,tie
红领巾,1,red scarf
毛领子,1,Fur collar
溜溜球,8,Yo-Yo
榴莲干,4,Dried Durian
榴莲核,8,Durian core
榴莲壳,8,Durian Shell
镇流器,1,Ballast
电子镇流器,1,Electronic ballast
龙虾,4,lobster
大龙虾,4,Lobsters
龙虾壳,4,Lobster shell
鸟笼,8,birdcage
芦荟,4,Aloe
芦稷,4,Lu Ji
芦稷皮,8,Reed
甜卢蜀,4,Sweet Lu Shu
炉渣,8,Slag
电磁炉,1,induction cooker
电暖炉,1,Electric heater
卤素灯,2,Halogen lamp
卤素灯泡,2,Halogen bulb
花露水瓶,1,Toilet water bottle
沐浴露瓶,1,Shower gel bottle
洗发露瓶,1,Shampoo bottle
电路板,1,Circuit board
路由器,1,router
线路板,1,circuit board
录像带,2,Videotape
录音机,1,recorder
铝,1,aluminum
旅行袋,1,Travel bag
旅游时报,1,Travel times
滤网,8,Filter
滤芯,8,Filter element
绿豆,4,green beans
绿萝,4,Green dill
海螺,8,conch
花螺,8,Flower snail
螺帽,1,Nut
绿箩,4,Green basket
落发,8,Hair loss
落叶,4,Fallen leaves
落花生,4,peanut
姨妈巾,8,Aunt towel
老干妈辣酱,4,Lao Gan Ma Hot Sauce
麻布,1,Azabu
麻袋,8,sack
麻绳,8,hemp rope
密码锁,1,password
马肉,4,horsemeat
买菜的包装袋,8,Grocery bags
麦子,4,wheat
烧卖,4,Siu mai
外卖盒,8,Takeaway box
外卖餐盒,8,Takeaway lunch box
馒头,4,Steamed bun
蔓藤,4,Vine
藤蔓,4,vine
漫画,1,comics
漫画书,1,comic book
芒果,4,mango
芒果干,4,Dried mango
芒果核,4,Mango pit
貂毛,8,Mink
狗毛,8,Dog hair
帽子,1,hat
浴帽,8,Shower cap
泡沫箱属于什么垃圾,1,What kind of rubbish does the foam box belong to?
杨梅,4,Bayberry
发霉食物,4,Moldy food
煤饼,8,briquette
煤灰,8,coal ash
煤渣,8,cinder
没用过尿片,8,Never used diapers
没用过的纸杯,8,Unused paper cup
没用过的尿不湿,8,Unused diapers
眉笔,8,eyebrow pencil
美瞳,8,Cosmetic contact lenses
门锁,1,Door lock
柠檬,4,lemon
米,4,Meter
大米,4,Rice
菠萝蜜,4,jackfruit
棉,1,cotton
海绵,8,sponge
海绵垫,8,Sponge mats
海绵纸,8,Sponge paper
面,4,noodle
面包,4,bread
灭火器,1,Fire extinguisher
灭蚊剂,2,Mosquito killer
废灭火器,1,Waste fire extinguisher
玻璃器皿,1,glassware
明信片,8,postcard
三明治,4,sandwich
说明书,1,manual
