cn,label,en,cleaned_en
受污纸巾,8,Contaminated paper towels,contaminated paper towels
麦当劳炸鸡,4,McDonald's Fried Chicken,mcdonalds fried chicken
臭虫,4,bed bugs,bed bugs
吃剩下的葡萄杆,4,Leftover grape stalks,leftover grape stalks
香肠竹签,8,Sausage skewers,sausage skewers
海瓜子壳,4,Sea melon seed shell,sea melon seed shell
榴莲核,8,Durian core,durian core
营养琼脂,4,Nutrient agar,nutrient agar
矿泉水瓶子,1,Mineral water bottle,mineral water bottle
蒲公英,4,Dandelion,dandelion
湿面巾纸,8,Wet facial tissue,wet facial tissue
纸咖啡杯,8,Paper coffee cup,paper coffee cup
标签,8,Label,label
假睫毛胶水,8,False eyelash glue,false eyelash glue
湿厕纸包装袋,8,Wet toilet paper packaging bag,wet toilet paper packaging bag
塑料架,1,Plastic frame,plastic frame
尿垫,8,Changing pad,changing pad
基围虾,4,Kewei Shrimp,kewei shrimp
金属罐,1,Metal can,metal can
鱼内脏,4,Fish offal,fish offal
铅球,1,Shot put,shot put
玻璃碎片,1,glass shards,glass shards
豆浆杯,8,Soy milk cup,soy milk cup
花卉绿植,4,Flowers and green plants,flowers and green plants
印泥,8,Inkpad,inkpad
食品罐头,1,Canned food,canned food
纱线手套,1,Yarn gloves,yarn gloves
灭蚊剂,2,Mosquito killer,mosquito killer
可降解垃圾袋,8,Degradable garbage bag,degradable garbage bag
姨妈巾,8,Aunt towel,aunt towel
织带,8,Webbing,webbing
铝箔包,8,Aluminum foil package,aluminum foil package
瓜皮,4,Melon peel,melon peel
个人计算机,1,Personal computer,personal computer
茶叶蛋壳,4,Tea eggshell,tea eggshell
塑料药盒,2,Plastic pill box,plastic pill box
无人机,1,Drone,drone
乐扣乐扣塑料盒,1,LOCK&LOCK Plastic Box,locklock plastic box
课桌,16,desk,desk
味精,4,MSG,msg
草稿纸,1,Draft paper,draft paper
冰糖,4,crystal sugar,crystal sugar
软木塞,8,cork,cork
紫砂碎片,8,Purple Clay Fragment,purple clay fragment
猫毛,8,Cat hair,cat hair
燃油罐空瓶,1,Fuel tank empty bottle,fuel tank empty bottle
豌豆殼,4,Pea shell,pea shell
止咳糖浆瓶,2,Cough Syrup Bottle,cough syrup bottle
皮带,1,belt,belt
樱桃,4,Cherry,cherry
废温度计,2,Waste thermometer,waste thermometer
华为P20,1,Huawei P20,huawei p
网球,8,tennis,tennis
话梅,4,Plum,plum
中草药材,4,Chinese herbal medicine,chinese herbal medicine
面膜,8,Facial mask,facial mask
蛋黄酥,4,Egg Yolk Crisp,egg yolk crisp
相纸,2,photographic paper,photographic paper
乌龙茶,4,Oolong tea,oolong tea
玻璃制品,1,Glass product,glass product
行车记录仪,1,Driving recorder,driving recorder
鱼鳞鱼肠,4,Fish scales fish intestines,fish scales fish intestines
猪肋排,4,Pork ribs,pork ribs
玉米粒,4,corn kernels,corn kernels
过期零食,4,Expired snacks,expired snacks
鸭脖,4,Duck neck,duck neck
卸妆纸巾,8,Makeup remover,makeup remover
干净的纸杯,8,Clean paper cup,clean paper cup
吃过的甘蔗,4,Eaten sugarcane,eaten sugarcane
毛巾,8,towel,towel
废旧抹布,8,Used rags,used rags
光碟包,8,CD package,cd package
洗涤液包装袋,8,Washing liquid packaging bag,washing liquid packaging bag
杀虫子罐,2,Insecticide jar,insecticide jar
手机充电宝,1,Mobile phone power bank,mobile phone power bank
污染严重的纸张,8,Heavily contaminated paper,heavily contaminated paper
湿纸,8,Wet paper,wet paper
杏仁壳,4,Almond shell,almond shell
盛装湿垃圾的垃圾袋,8,Garbage bags for wet garbage,garbage bags for wet garbage
废旧小家电,1,Scrap small appliances,scrap small appliances
搅拌棒,8,Stirring rod,stirring rod
杀毒剂,2,Disinfectant,disinfectant
鹅骨头,4,Goose bones,goose bones
冰棒皮,8,Popsicle skin,popsicle skin
旧镜子,8,Old mirror,old mirror
牛肉干,4,Dried beef,dried beef
咳嗽药水瓶,2,Cough medicine bottle,cough medicine bottle
油脂,8,grease,grease
肉沫,4,Minced meat,minced meat
竹签,1,Bamboo stick,bamboo stick
猪小排,4,Pork Ribs,pork ribs
头饰,8,Headwear,headwear
水果脆,4,Fruit crisp,fruit crisp
纸盒,1,Carton,carton
红笔,8,Red pen,red pen
蜗牛壳,8,snail shell,snail shell
破碎盘子,8,Broken plate,broken plate
木盒子,1,wooden box,wooden box
钢笔里的墨囊,8,Ink sac in a pen,ink sac in a pen
大饼,4,Flatbread,flatbread
账单,1,bill,bill
药渣,4,Medicine residue,medicine residue
清凉贴,8,Cool stickers,cool stickers
南瓜籽,4,Pumpkin seeds,pumpkin seeds
汉堡纸,8,Hamburger paper,hamburger paper
硬质塑料瓶,1,Rigid plastic bottle,rigid plastic bottle
牛皮纸,1,Kraft paper,kraft paper
铅芯,8,Lead core,lead core
矿物猫砂,4,Mineral cat litter,mineral cat litter
废弃植物,4,Abandoned plants,abandoned plants
塑胶菜蓝子,1,Plastic cabbage,plastic cabbage
燕麦,4,oat,oat
泳镜,8,Swimming goggles,swimming goggles
使用的餐巾纸,8,Napkins used,napkins used
破损瓷器,8,Broken porcelain,broken porcelain
3.5英寸软盘,8,3.5 inch floppy disk, inch floppy disk
过期糕点,4,Expired pastry,expired pastry
包裹着鼻屎的纸巾,8,Tissue wrapped in booger,tissue wrapped in booger
破瓷品,8,Broken porcelain,broken porcelain
旧毛巾,8,Old towel,old towel
乐高玩具,1,Lego toys,lego toys
冬瓜籽,4,Winter melon seeds,winter melon seeds
浴花,8,Yuka,yuka
废铝,1,Scrap aluminum,scrap aluminum
花盆,8,flowerpot,flowerpot
眼镜布,8,Glasses cloth,glasses cloth
人造纤维,8,Man-made fiber,manmade fiber
棕子叶,8,Palm cotyledons,palm cotyledons
玉米心,4,Corn heart,corn heart
玉米须,4,Corn silk,corn silk
空调器,1,Air conditioner,air conditioner
衣服吊牌,8,Clothes tag,clothes tag
各类刀、刀片,1,All kinds of knives and blades,all kinds of knives and blades
小型音响,1,Small speaker,small speaker
旧玩偶,1,Old doll,old doll
电视,1,television,television
麻辣香锅残渣,4,Spicy Fragrant Pot Residue,spicy fragrant pot residue
酸奶袋,8,Yogurt bag,yogurt bag
外卖饭盒,8,Takeaway lunch box,takeaway lunch box
纸质包装袋,8,Paper packaging bag,paper packaging bag
榨果汁机,1,Juicer,juicer
内裤,8,Panties,panties
电子闹钟,1,Electronic alarm clock,electronic alarm clock
鸭骨头,4,Duck bones,duck bones
污损纸盒,8,Defiled carton,defiled carton
抽屉,16,drawer,drawer
搽鼻涕纸,8,Sniffing paper,sniffing paper
pp管,1,pp tube,pp tube
咖啡滤纸,8,Coffee filter,coffee filter
塑料档案袋,1,Plastic file bag,plastic file bag
塑料梳子,1,Plastic comb,plastic comb
过朝食品,4,Guochao Food,guochao food
狗毛,8,Dog hair,dog hair
绿箩,4,Green basket,green basket
相片,2,Photo,photo
废血压计,2,Waste sphygmomanometer,waste sphygmomanometer
浴帽,8,Shower cap,shower cap
麦当劳纸袋,1,McDonald's paper bag,mcdonalds paper bag
塑料打包盒,8,Plastic packing box,plastic packing box
过期饼干,4,Expired cookies,expired cookies
麦当劳纸盒,8,McDonald's carton,mcdonalds carton
燕窝,4,Bird's nest,birds nest
砖头,1,brick,brick
卸妆膏,8,Makeup remover,makeup remover
三明治,4,sandwich,sandwich
塑料锅铲,1,Plastic spatula,plastic spatula
宽粉条,4,Wide vermicelli,wide vermicelli
密封袋,8,sealed bag,sealed bag
插头,1,plug,plug
旧窗帘,1,Old curtains,old curtains
干桂圆壳,4,Dried longan shell,dried longan shell
醋包,8,Vinegar bag,vinegar bag
夏威夷果壳,8,Macadamia shell,macadamia shell
过期保健品,2,Expired health products,expired health products
泡沫保温箱,1,Foam insulation box,foam insulation box
橘子皮,4,Tangerine skin,tangerine skin
头绳,8,Head rope,head rope
金手链,1,Gold bracelet,gold bracelet
脚皮,8,Foot skin,foot skin
磁铁,1,magnet,magnet
水晶板,1,Crystal plate,crystal plate
猪扒,4,Pork chop,pork chop
纽扣（少量）,8,Buttons (a small amount),buttons a small amount
保鲜膜带齿盒,1,Cling film with tooth box,cling film with tooth box
火车票,8,Train ticket,train ticket
摩丝,8,mousse,mousse
纸袋子,1,Paper bag,paper bag
粘纸,8,Sticker,sticker
卸妆油空瓶,1,Cleansing oil empty bottle,cleansing oil empty bottle
止痛膏,2,Pain Relief Cream,pain relief cream
录像带,2,Videotape,videotape
鲜奶盒,1,Milk box,milk box
胡萝卜皮,4,Carrot peel,carrot peel
曲奇铁罐,1,Cookie tin can,cookie tin can
面巾纸,8,Facial tissue,facial tissue
番茄酱包装袋,8,Tomato sauce packaging bag,tomato sauce packaging bag
球拍,1,racket,racket
一次性拖鞋,8,Disposable slippers,disposable slippers
塑料盖,1,plastic cap,plastic cap
橡胶拖鞋,1,Rubber slippers,rubber slippers
木铲板,1,Wooden spatula,wooden spatula
青草,4,grass,grass
烂香蕉,4,Rotten banana,rotten banana
可乐罐,1,Coke can,coke can
拉杆箱,16,Trolley case,trolley case
毛绒垫,1,Plush pad,plush pad
香肠,4,sausage,sausage
尿袋（家庭产生）,8,Urine bag (produced in the family),urine bag produced in the family
纸质礼品盒,1,Paper gift box,paper gift box
玻璃渣,1,Glass slag,glass slag
纸药盒,2,Paper pill box,paper pill box
聚乙烯饭盒,8,Polyethylene lunch box,polyethylene lunch box
快递纸箱,1,Express carton,express carton
婴儿尿不湿,8,Baby's diapers,babys diapers
猫粮包装袋,8,Cat Food Packaging Bag,cat food packaging bag
食品,4,food,food
珍珠,1,Pearl,pearl
塑料油壶,8,Plastic oil can,plastic oil can
屠龙刀,1,Dragon Sword,dragon sword
钨丝,1,Tungsten,tungsten
机票,8,Air tickets,air tickets
隔夜菜,4,Overnight dishes,overnight dishes
一次性手套,8,Disposable gloves,disposable gloves
手机电池,2,cell phone battery,cell phone battery
废弃的纸张,8,Discarded paper,discarded paper
票,8,ticket,ticket
木筷子,1,Wood chopsticks,wood chopsticks
灯泡,2,Light bulb,light bulb
台式电脑,1,Desktop PC,desktop pc
窗帘,1,curtain,curtain
炸鸡腿,4,Fried chicken legs,fried chicken legs
书柜,16,bookcase,bookcase
二手手机,1,second-hand phone,secondhand phone
使用过的餐盒,8,Used lunch box,used lunch box
多肉,4,Succulent,succulent
一次性尿布,8,Disposable diapers,disposable diapers
窗纱,8,window screening,window screening
杏子核,4,Apricot Kernel,apricot kernel
座椅垫,1,Seat cushion,seat cushion
中性笔,8,Gel pen,gel pen
猪肉排骨,4,Pork ribs,pork ribs
栗子,4,Chestnut,chestnut
文蛤壳,8,Clam shell,clam shell
干冰袋,8,Dry ice bag,dry ice bag
纸巾包装袋,8,Paper towel packaging bag,paper towel packaging bag
米饭,4,rice,rice
饭菜,4,Meal,meal
牛仔骨,8,Cowboy bones,cowboy bones
脏抹布,8,Dirty cloth,dirty cloth
养生壶,1,Health pot,health pot
机械表,1,Mechanical watch,mechanical watch
办公桌,1,desk,desk
木质锅铲,1,Wooden spatula,wooden spatula
安全套包装袋,8,Condom packaging bag,condom packaging bag
竹筒,8,Bamboo tube,bamboo tube
婴儿纸尿裤,8,Baby diapers,baby diapers
荧光棒,8,Light stick,light stick
复印件版纸,1,Copy paper,copy paper
显示器,1,monitor,monitor
靠垫,1,Cushion,cushion
图章,8,stamp,stamp
旧照片,2,Old photos,old photos
螺蛳粉,4,Snail powder,snail powder
杏核,4,Apricot Kernel,apricot kernel
毛发,8,Hair,hair
电锯,1,Chainsaw,chainsaw
披萨盒,8,Pizza box,pizza box
彩笔,8,Crayons,crayons
厨余垃圾,4,Kitchen waste,kitchen waste
桃核,4,Peach pit,peach pit
酸奶杯盖,8,Yogurt Cup Lid,yogurt cup lid
可降解塑料袋,8,Biodegradable plastic bag,biodegradable plastic bag
落花生,4,peanut,peanut
面包袋,8,Bread bag,bread bag
榴莲肉,4,Durian meat,durian meat
水银体温计,2,Mercury thermometer,mercury thermometer
包书纸,1,Book paper,book paper
卸甲水,2,Resurrection water,resurrection water
外卖盒子,8,Takeaway box,takeaway box
雷达瓶子,2,Radar bottle,radar bottle
皮衣,1,Leather jacket,leather jacket
铝塑复合管,1,Aluminum-plastic composite pipe,aluminumplastic composite pipe
脸盆,1,washbasin,washbasin
结团猫砂,4,Clumping cat litter,clumping cat litter
花椰菜,4,brocoli,brocoli
伤筋药膏包装,2,Tendon Ointment Packaging,tendon ointment packaging
水饺包装袋,8,Dumpling Packaging Bag,dumpling packaging bag
甜瓜,4,melon,melon
废铁,1,Scrap iron,scrap iron
玻璃,1,grass,grass
笔记本电脑电池,2,Laptop battery,laptop battery
尿裤,8,Diapers,diapers
鳜鱼,4,Mandarin Fish,mandarin fish
水果皮,4,fruit peel,fruit peel
油画颜料软管,8,Oil paint hose,oil paint hose
软塑料隔热垫,1,Soft plastic heat insulation pad,soft plastic heat insulation pad
塑料袋,8,Plastic bag,plastic bag
糖纸,8,Sugar paper,sugar paper
自来水滤芯,8,Tap water filter,tap water filter
干花,4,Dried flowers,dried flowers
椰奶罐,1,Coconut Milk Can,coconut milk can
旧口罩,8,Old mask,old mask
塑料筐,1,Plastic baskets,plastic baskets
果冻,4,jelly,jelly
艾灸条,8,Moxibustion strips,moxibustion strips
胶水桶,2,Glue bucket,glue bucket
稀饭,4,porridge,porridge
锂电池,2,lithium battery,lithium battery
脚踏板,8,Foot pedal,foot pedal
吉他,1,Guitar,guitar
燃气罐空瓶,1,Empty gas tank,empty gas tank
电钻,1,Electric drill,electric drill
合金玩具,1,Alloy toys,alloy toys
消毒液瓶,2,Disinfectant bottle,disinfectant bottle
黑木耳,4,Black Fungus,black fungus
曲奇,4,Cookies,cookies
卡纸,1,Paper jam,paper jam
脉动饮料瓶,1,Pulsating beverage bottle,pulsating beverage bottle
葱蒜,4,Shallots and garlic,shallots and garlic
易拉宝,1,Roll up banner,roll up banner
银戒指,1,silver ring,silver ring
烟盒,1,cigarette case,cigarette case
机顶盒,1,Set-top box,settop box
人造玻璃,1,Artificial glass,artificial glass
纸尿裤,8,Diapers,diapers
大闸蟹壳,4,Hairy crab shell,hairy crab shell
菜椒,4,Cauliflower,cauliflower
酒精棉片,8,Alcohol pads,alcohol pads
包装盒,1,Packing box,packing box
鸭翅,4,Duck wings,duck wings
包裹着痰的纸巾,8,Paper towel wrapped in phlegm,paper towel wrapped in phlegm
粘鼠胶,2,Mouse glue,mouse glue
巧克力包装袋,8,Chocolate packaging bag,chocolate packaging bag
玉镯,1,Jade bracelet,jade bracelet
西葫芦,4,squash,squash
柚子核,4,Grapefruit core,grapefruit core
A4纸包装袋,8,A4 paper packaging bag,a paper packaging bag
小型保险箱,1,Small safe,small safe
家用吸尘器,1,Household vacuum cleaner,household vacuum cleaner
鲍鱼,8,abalone,abalone
美妆蛋,8,Beauty Egg,beauty egg
纸质商标,8,Paper trademark,paper trademark
鸡蛋壳,4,Egg shell,egg shell
光驱,1,Optical drive,optical drive
一次塑料杯,8,One-time plastic cup,onetime plastic cup
椰肉,4,Coconut meat,coconut meat
木棍,1,Wooden stick,wooden stick
纸巾盒,1,tissue box,tissue box
化妆品玻璃瓶,1,Cosmetic glass bottle,cosmetic glass bottle
篮球,1,basketball,basketball
丙烯,8,Acrylic,acrylic
夏威夷果,8,Macadamia,macadamia
棉签,8,Cotton swab,cotton swab
鱼竿,1,fishing rod,fishing rod
炒菜铁锅,1,Wok,wok
地图,1,map,map
枇杷核,4,Loquat core,loquat core
鸡头,4,Chicken head,chicken head
笋干,4,Dried bamboo shoots,dried bamboo shoots
皮蛋,4,preserved egg,preserved egg
工业胶水,2,Industrial glue,industrial glue
空煤气罐,1,Empty gas tank,empty gas tank
花生酱,4,peanut butter,peanut butter
虾头,4,Shrimp head,shrimp head
洗发水瓶,1,Shampoo bottle,shampoo bottle
清扫渣土,8,Sweep the muck,sweep the muck
水蜜桃,4,Peach,peach
调味料,4,seasoning,seasoning
奶粉罐,1,Milk powder can,milk powder can
旧锁,1,Old lock,old lock
鼓棒,1,Drumsticks,drumsticks
草帽,8,straw hat,straw hat
内衣,8,underwear,underwear
镍镉电池,2,Nickel-cadmium batteries,nickelcadmium batteries
鸽子,4,Pigeon,pigeon
塑料衣架,1,Plastic hangers,plastic hangers
打气筒,1,Inflator,inflator
酒精棉花,8,Alcohol cotton,alcohol cotton
小龙虾肉,4,Crayfish Meat,crayfish meat
塑料酸奶盒,1,Plastic yogurt box,plastic yogurt box
皮鞋,1,leather shoes,leather shoes
膨化食品包装,8,Puffed food packaging,puffed food packaging
钢丝,1,Steel wire,steel wire
鱼缸,1,Fish tank,fish tank
德克士炸鸡,4,Dicos Fried Chicken,dicos fried chicken
碎瓷,8,Broken Porcelain,broken porcelain
废药,2,Waste medicine,waste medicine
阿胶糕,4,Ejiao Cake,ejiao cake
咸菜,4,pickle,pickle
肉蛋加工食品,4,Meat and Egg Processed Food,meat and egg processed food
河蚌,8,River mussel,river mussel
空气清新剂罐,8,Air freshener canister,air freshener canister
羽毛球,8,badminton,badminton
温度计,2,thermometer,thermometer
鼻毛,8,Nose hair,nose hair
文竹,4,asparagus,asparagus
糯米,4,Sticky rice,sticky rice
银行卡,1,Bank card,bank card
巧克力锡纸,8,Chocolate tin foil,chocolate tin foil
墨鱼,4,Cuttlefish,cuttlefish
芋圆,4,Taro ball,taro ball
泡面调料包,8,Instant noodles seasoning package,instant noodles seasoning package
布料,1,Cloth,cloth
吃过的奇趣蛋,8,Funny eggs,funny eggs
沐浴乳,8,Body Wash,body wash
虫子,4,insect,insect
棉被,1,quilt,quilt
彩票,8,Lottery,lottery
乐扣塑料盒,1,LOCK plastic box,lock plastic box
指甲刀,1,Nail clippers,nail clippers
红酒瓶,1,Red wine bottle,red wine bottle
儿童电动玩具,1,Children's electric toys,childrens electric toys
发热包,8,Fever pack,fever pack
墨囊,8,Ink sac,ink sac
木梳子,1,Wooden comb,wooden comb
艾灸渣,8,Moxibustion residue,moxibustion residue
滴漏式咖啡,8,Drip coffee,drip coffee
废塑料,1,waste plastic,waste plastic
乒乓糯米糍,4,Ping pong glutinous rice cake,ping pong glutinous rice cake
叉子,1,fork,fork
青椰,8,Green Coconut,green coconut
鸟粮,4,Bird food,bird food
防蚊贴,8,Anti-mosquito stickers,antimosquito stickers
鸭蛋壳,4,Duck eggshell,duck eggshell
意大利面,4,spaghetti,spaghetti
安全套,8,Condom,condom
使用过的卫生巾,8,Used sanitary napkins,used sanitary napkins
草本植物,4,herb,herb
金丝皇菊,4,Golden silk chrysanthemum,golden silk chrysanthemum
苹果核,4,Apple core,apple core
洗衣液桶,1,Laundry liquid bucket,laundry liquid bucket
背包,1,Backpack,backpack
眼镜盒,8,glasses case,glasses case
猫沙,8,Nekosha,nekosha
电脑配件,1,Computer Accessories,computer accessories
烟丝,8,cut tobacco,cut tobacco
松木猫砂,8,Pine cat litter,pine cat litter
鹅,4,Goose,goose
话梅肉,4,Plum meat,plum meat
课本,1,textbook,textbook
打印后的彩色照片,2,Color photo after printing,color photo after printing
碎小肥皂,8,Crushed small soap,crushed small soap
太阳能电池,2,Solar battery,solar battery
螺蛳肉,4,Snail meat,snail meat
珍宝蟹,8,Dungeness Crab,dungeness crab
胡椒粉,4,pepper,pepper
串串竹签,8,Skewers,skewers
花甲壳,8,Flower Carapace,flower carapace
奶酪,4,cheese,cheese
窗玻璃,1,Window glass,window glass
豆干,4,Dried tofu,dried tofu
小排骨,4,Small ribs,small ribs
咸鸡,4,Salted Chicken,salted chicken
树脂,2,Resin,resin
石榴籽,4,Pomegranate seeds,pomegranate seeds
耳环,1,earrings,earrings
棉线,8,Cotton thread,cotton thread
变形金刚,1,Transformers,transformers
虾肉,4,Shrimp,shrimp
电子产品,1,electronic product,electronic product
味全果汁瓶,1,Flavored whole juice bottle,flavored whole juice bottle
西餐糕点,4,Western pastries,western pastries
数据线,1,Data line,data line
压力罐,1,pressure tank,pressure tank
丝绸制品,1,Silk products,silk products
快递袋,8,Courier bag,courier bag
糖果皮,8,Candy skin,candy skin
腮红,8,Blush,blush
油条包装袋,8,You Tiao Packaging Bag,you tiao packaging bag
日光灯,2,fluorescent lamp,fluorescent lamp
创可贴,8,band Aid,band aid
84消毒液瓶,8,84 disinfectant bottle, disinfectant bottle
糖葫芦棍,8,Candied haws stick,candied haws stick
纸巾外包装,8,Paper towel outer packaging,paper towel outer packaging
帝王蟹壳,8,King crab shell,king crab shell
雪糕棒,8,Ice cream stick,ice cream stick
敲碎的碗,8,Broken bowl,broken bowl
手机,1,cell phone,cell phone
洗碗布,8,dishcloth,dishcloth
皮筋,8,Rubber band,rubber band
充电牙刷,1,Rechargeable toothbrush,rechargeable toothbrush
饼干包装袋,8,Biscuit Packaging Bag,biscuit packaging bag
韩国泡菜,4,Kimchi,kimchi
安神补脑液瓶,2,Soothe the nerves and invigorate the brain fluid bottle,soothe the nerves and invigorate the brain fluid bottle
铁管,1,iron tube,iron tube
钢琴,16,piano,piano
浴巾,8,bath towel,bath towel
瓜子壳,4,Melon seed shell,melon seed shell
鞋垫,1,insole,insole
抽纸塑料袋,8,Draw paper plastic bag,draw paper plastic bag
荷兰猪毛,8,Guinea pig hair,guinea pig hair
节能灯管,2,Energy-saving lamps,energysaving lamps
信纸,1,stationery,stationery
雨伞骨架,1,Umbrella skeleton,umbrella skeleton
卫生间废纸,8,Toilet waste paper,toilet waste paper
铝合金,1,Aluminum alloy,aluminum alloy
鸭皮,4,Duck skin,duck skin
护肤乳液瓶,1,Skin care lotion bottle,skin care lotion bottle
干电池（无汞）,8,Dry battery (no mercury),dry battery no mercury
橡皮筋,8,Rubber band,rubber band
速冻饺子,4,Quick-frozen dumplings,quickfrozen dumplings
金属制菜篮子,1,Metal food basket,metal food basket
KFC纸盒,8,KFC carton,kfc carton
壁纸,8,wallpaper,wallpaper
纸质外卖盒,8,Paper takeaway box,paper takeaway box
便签纸,8,Note paper,note paper
旧抹布,8,Old rag,old rag
魔芋粉包装袋,8,Konjac flour packaging bag,konjac flour packaging bag
带有婴儿粪便的纸尿裤,8,Diapers with baby feces,diapers with baby feces
玻璃制容器,1,Glass container,glass container
蚊香片,8,Mosquito coil,mosquito coil
玉米棒,4,Corn on the cob,corn on the cob
粉碎后的打印纸,8,Shredded printing paper,shredded printing paper
灌汤包,4,Tang Bao,tang bao
果冻壳,8,Jelly shell,jelly shell
海洋球,1,Ocean ball,ocean ball
暖水瓶,1,Thermos,thermos
干面粉,4,Dry flour,dry flour
西药瓶,2,Western medicine bottle,western medicine bottle
摄像头,1,Camera,camera
牛,4,Cattle,cattle
脚趾甲,8,Toenails,toenails
墨水瓶,1,Ink bottle,ink bottle
泡面袋,8,Instant noodle bag,instant noodle bag
纸皮核桃,8,Paper walnut,paper walnut
太阳镜,8,Sunglasses,sunglasses
桔梗,4,Platycodon,platycodon
一次性纸杯,8,Disposable paper cup,disposable paper cup
凉席,8,Summer mat,summer mat
面粉,4,flour,flour
油漆稀释剂,2,Paint thinner,paint thinner
受污染纸张,8,Contaminated paper,contaminated paper
头屑,8,Dandruff,dandruff
白糖,4,Sugar,sugar
衬衣,1,shirt,shirt
按摩棒,8,Massage stick,massage stick
水果塑料盒,8,Fruit plastic box,fruit plastic box
荷包蛋,4,Poached egg,poached egg
金属拉链,1,Metal zipper,metal zipper
木塞,8,Cork,cork
碎布,1,Rags,rags
干草包装袋,8,Hay packaging bag,hay packaging bag
橙子,4,Orange,orange
冰贴,8,Ice stickers,ice stickers
污损报纸,8,Defaced newspaper,defaced newspaper
速冻水饺,4,Quick-frozen dumplings,quickfrozen dumplings
动物毛,8,Animal hair,animal hair
普洱茶,4,Pu'er tea,puer tea
阿司匹林,2,aspirin,aspirin
栗子壳,4,Chestnut shell,chestnut shell
被套,1,quilt cover,quilt cover
高粱,4,Sorghum,sorghum
地球仪,1,globe,globe
画笔,8,brush,brush
口红,8,Lipstick,lipstick
旅游时报,1,Travel times,travel times
大型复印机,1,Large copier,large copier
喝过的奶茶杯子,8,Drunk milk tea cup,drunk milk tea cup
芡实糕,4,Gorgon Cake,gorgon cake
自热火锅加热包,8,Self-heating hot pot heating bag,selfheating hot pot heating bag
衣服半成品,1,Semi-finished clothes,semifinished clothes
豆芽,4,Bean sprouts,bean sprouts
复印机,1,Copier,copier
锡纸,8,Tin foil,tin foil
牛排,4,steak,steak
残羹,4,Residual,residual
白纸,1,White paper,white paper
一次性便当盒,8,Disposable bento box,disposable bento box
过期护肤品,8,Expired skin care products,expired skin care products
西兰花,4,broccoli,broccoli
松子壳,4,Pine nut shell,pine nut shell
锁头,1,Lock,lock
橡胶手套,8,Rubber gloves,rubber gloves
包装用纸,1,Packaging paper,packaging paper
跑步机,1,Treadmill,treadmill
孩子尿片,8,Baby diapers,baby diapers
瑜伽垫,1,Yoga mat,yoga mat
小核桃壳,8,Small walnut shell,small walnut shell
护脸霜瓶,1,Face cream bottle,face cream bottle
铁丝,1,iron wire,iron wire
过滤袋,8,filter bag,filter bag
废纸,8,Waste paper,waste paper
树根,4,root,root
纸张类,1,Paper,paper
黄金,1,gold,gold
泳衣,1,Swimsuit,swimsuit
八宝粥,4,Eight Treasure Congee,eight treasure congee
